dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading 
0.02,30.0475,-10.6852,12.3485,1.8966,3.4617,121.0868,13.1640,5.0000,7.0000,0.0000,13.9792,8.1022,-3.4588,-120.9871,0.7248,
0.02,30.1205,-10.6169,12.3887,2.0089,5.6150,107.6657,13.2640,5.0000,7.0000,0.0000,14.1390,7.9900,-5.6105,-107.5833,0.7780,
0.02,30.1900,-10.5450,12.4318,2.1563,7.3705,87.7727,13.3640,5.0000,7.0000,0.0000,14.2959,7.8427,-7.3648,-87.7149,0.8286,
0.02,30.2558,-10.4697,12.4784,2.3296,8.6652,64.7372,13.4640,5.0000,7.0000,0.0000,14.4493,7.6695,-8.6589,-64.7058,0.8760,
0.02,30.3180,-10.3915,12.5288,2.5196,9.5005,41.7649,13.5640,5.0000,7.0000,0.0000,14.5989,7.4796,-9.4941,-41.7574,0.9201,
0.02,30.3770,-10.3107,12.5831,2.7181,9.9257,21.2600,13.6640,5.0000,7.0000,0.0000,14.7445,7.2812,-9.9195,-21.2710,0.9607,
0.02,30.4327,-10.2276,12.6415,2.9184,10.0172,4.5749,13.7640,5.0000,7.0000,0.0000,14.8861,7.0810,-10.0115,-4.5984,0.9977,
0.02,30.4855,-10.1427,12.7038,3.1156,9.8595,-7.8837,13.8640,5.0000,7.0000,0.0000,15.0238,6.8839,-9.8544,7.8532,1.0312,
0.02,30.5355,-10.0561,12.7699,3.3063,9.5321,-16.3706,13.9640,5.0000,7.0000,0.0000,15.1577,6.6933,-9.5276,16.3377,1.0613,
0.02,30.5831,-9.9682,12.8397,3.4883,9.1022,-21.4966,14.0640,5.0000,7.0000,0.0000,15.2879,6.5114,-9.0984,21.4641,1.0882,
0.02,30.6284,-9.8791,12.9129,3.6608,8.6224,-23.9890,14.1640,5.0000,7.0000,0.0000,15.4147,6.3390,-8.6192,23.9587,1.1120,
0.02,30.6718,-9.7889,12.9894,3.8234,8.1316,-24.5423,14.2640,5.0000,7.0000,0.0000,15.5382,6.1764,-8.1289,24.5152,1.1329,
0.02,30.7133,-9.6980,13.0689,3.9765,7.6567,-23.7447,14.3640,5.0000,7.0000,0.0000,15.6587,6.0233,-7.6545,23.7209,1.1511,
0.02,30.7533,-9.6063,13.1513,4.1209,7.2155,-22.0564,14.4640,5.0000,7.0000,0.0000,15.7763,5.8790,-7.2137,22.0359,1.1667,
0.02,30.7920,-9.5141,13.2365,4.2572,6.8192,-19.8162,14.5640,5.0000,7.0000,0.0000,15.8911,5.7427,-6.8178,19.7986,1.1799,
0.02,30.8296,-9.4215,13.3242,4.3867,6.4740,-17.2609,14.6640,5.0000,7.0000,0.0000,16.0034,5.6132,-6.4729,17.2459,1.1908,
0.02,30.8663,-9.3284,13.4144,4.5104,6.1831,-14.5470,14.7640,5.0000,7.0000,0.0000,16.1132,5.4896,-6.1822,14.5341,1.1995,
0.02,30.9022,-9.2351,13.5070,4.6293,5.9476,-11.7719,14.8640,5.0000,7.0000,0.0000,16.2206,5.3707,-5.9470,11.7606,1.2061,
0.02,30.9377,-9.1416,13.6019,4.7447,5.7678,-8.9898,14.9640,5.0000,7.0000,0.0000,16.3257,5.2553,-5.7674,8.9799,1.2107,
0.02,30.9728,-9.0480,13.6991,4.8576,5.6433,-6.2258,15.0640,5.0000,7.0000,0.0000,16.4285,5.1424,-5.6430,6.2168,1.2132,
0.02,31.0077,-8.9543,13.7984,4.9690,5.5736,-3.4854,15.1640,5.0000,7.0000,0.0000,16.5291,5.0310,-5.5735,3.4770,1.2137,
